title,WKT,chinese,com
Chishang,POINT (121.21951110034517 23.126319000404134),池上,0
Suao,POINT (121.86647669987117 24.59600458976921),蘇澳,0
Yingge,POINT (121.34159320028256 24.957924749785967),鶯歌,1
Hsinchu,POINT (120.99232090014056 24.80497810997358),新竹,1
Hengchun,POINT (120.74232830044679 22.01254609011015),恆春,1
Kaohsiung AD,POINT (120.33793089996281 22.58362816975282),高雄機場,1
Hualien,POINT (121.63801479963465 24.014545759989726),花蓮,1
Jhihhang/Fongnian,POINT (121.16525149982996 22.76731992023035),志航/豐年,1
Ludao,POINT (121.47713879964235 22.665276409734727),綠島,1
Lanyu,POINT (121.51364820038644 22.070760319808567),蘭嶼,1
Siluo,POINT (120.47456140008111 23.783010700229458),西螺,1
Niaosong,POINT (120.32971039972985 22.66600133991713),鳥松,1
Gangzihbi,POINT (120.89693259999356 22.143681879841967),港仔鼻,0
Mouth of Danshuei River,POINT (121.40833329985591 25.174999529784046),淡水河口,1
Fugueijiao,POINT (121.53704490011475 25.299051880159038),富貴角,0
Keelung,POINT (121.75440110007199 25.158837209945535),基隆,1
Sandiaojiao,POINT (122.0030280000225 25.007675049692057),三貂角,1
Taichung,POINT (120.61739110031326 24.131403630154765),臺中,1
Yuanlin,POINT (120.50652500029743 23.96240340992566),員林,1
Donggang,POINT (120.44575930013298 22.462565579826357),東港,1
Mouth of Dadu River,POINT (120.48417299992201 24.196266349662803),大肚溪口,1
Lugang,POINT (120.40488260039629 24.0552850396884),鹿港,1
Suantou,POINT (120.32626200001773 23.49707002971061),蒜頭,1
Liouciouyu,POINT (120.37736080005236 22.349875389799237),琉球嶼,1
Qimei,POINT (119.42783649979941 23.21714107979308),七美,1
Magong,POINT (119.61199829980323 23.561887950117306),馬公,1
Fonggang,POINT (120.68573370003041 22.19657112993601),楓港,0
Madou,POINT (120.23610530033758 23.18991486008697),麻豆,0
Mingjian,POINT (120.70436879964518 23.840126999766394),名間,0
Chenggong,POINT (121.38604610035183 23.10409056975229),成功,0
Yuli,POINT (121.31645029960939 23.347105900205676),玉里,0
Gangshan,POINT (120.31843100030882 22.796660570244327),岡山,0
Dounan,POINT (120.46969730039699 23.682479800279154),斗南,0
Yangmei,POINT (121.14170710000097 24.908243360064212),楊梅,1
Shoufong,POINT (121.51291949960434 23.86334376970341),壽豐,0
Linbian,POINT (120.49205130042225 22.436378999704207),林邊,0
Jhutian,POINT (120.52849970016864 22.603926679894844),竹田,1
Yanchao System Interchange,POINT (120.42673810011749 22.784621880220197),燕巢系統交流道,0
Sinhua System Interchange,POINT (120.32388229994804 23.064151390338488),新化系統交流道,1
Houli Interchange,POINT (120.7017517997117 24.310269250327703),后里交流道,1
Zhudong,POINT (121.0809832999563 24.76611896012542),竹東,1
Guansi Service Area,POINT (121.19982350040756 24.815317760264183),關西服務區,0
Sibin Interchange,POINT (120.86606460036913 24.701230990004877),西濱交流道,0
Changhua System Interchange,POINT (120.56171199995238 24.105826060230633),彰化系統交流道,1
Jhongsing System Interchange,POINT (120.6541230999915 23.957828019963028),中興系統交流道,1
Gukeng System Interchange,POINT (120.57344120020917 23.664308950380747),古坑系統交流道,1
Baihe,POINT (120.44449420002343 23.408801859722807),白河,1
Tianliao Interchange,POINT (120.36201540017831 22.874079319927922),田寮交流道,1
Fangliao Bridge,POINT (120.61156729986844 22.343213390385333),枋寮大橋,1
Fengbitou,POINT (120.35423150003804 22.513661890210344),鳯鼻頭,1
Shanhutan,POINT (120.35554339967894 23.19317807962426),珊瑚潭,1
Eluanbi,POINT (120.85884519975677 21.89778843978577),鵝鑾鼻,0
Changhong Bridge,POINT (121.50897710014783 23.46783863959932),長虹橋,1
Fongbin,POINT (121.52464629956276 23.596176289839928),豐濱,1
Pinglin,POINT (121.70934460040368 24.925171960150887),坪林,1
Sindian,POINT (121.55823920026096 24.951513239934698),新店,0
Yingge System Interchange,POINT (121.32408480003645 24.93985696035891),鶯歌系統交流道,1
Jhongli,POINT (121.22583609963313 24.95329950991508),中壢,0
Wang-an,POINT (119.49753869969904 23.3733982197912),望安,1
Xinying Interchange,POINT (120.29075269996767 23.307255110192045),新營交流道,0
Yongkang,POINT (120.24777020008463 23.020927810272138),永康,1
Rende,POINT (120.24829489975389 22.949211260351767),仁德,0
Donghe,POINT (121.25715170011924 22.898304349858293),東河,0
Taimali,POINT (121.01079419969795 22.605419239795854),太麻里,0
Daren,POINT (120.8916952000033 22.29470005999747),達仁,0
Jiaoxi,POINT (121.77357220016229 24.82591344007907),礁溪,1
Yilan,POINT (121.75646569988612 24.75216374019141),宜蘭,0
Luye,POINT (121.13652769973697 22.91212733996719),鹿野,0
Guangfu,POINT (121.41667809997473 23.669188340200474),光復,0
Sanyi,POINT (120.77382500039585 24.42025785964539),三義,1
Waipu,POINT (120.76513269958578 24.64968884976786),外埔,0
Mouth of Da-an River,POINT (120.59454600030537 24.407825829836025),大安溪口,0
Tongsiao Interchange,POINT (120.70509309958065 24.496428209715905),通霄交流道,0
Houlong,POINT (120.78614280018303 24.597874480065595),後龍,1
Yuanli Interchange,POINT (120.67006250006739 24.397252360350123),苑裡交流道,0
Tongsiao Thermal Power Plant,POINT (120.66483109992488 24.48881031972599),通霄火力發電廠,1
Nanliao,POINT (120.91943849974344 24.84799415016354),南寮,1
Zhunan,POINT (120.88085269981396 24.686538410082544),竹南,0
